id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9
1,0.00032893865206997595,0.3221878168465284,0.397126632341293,0.2629654501954336,1.961528131535853e-07,7.801154551897255e-05,0.017297879379565118,1.0883441002465007e-05,4.191445775161579e-06
2,0.0001024835463330937,3.947414072931565e-05,1.4456617394850813e-05,1.3612096290949387e-05,4.99400306344837e-06,0.0004774848302690706,0.00030571736881836593,0.9989660422319788,7.573516512224844e-05
3,0.0001528563664776474,0.000987158551371621,8.960940513009385e-05,0.7371204164831067,5.6170491536386896e-05,0.24420366088129106,0.0009054297613999587,0.014741539918798686,0.00174315814088796
4,0.21542171438277619,0.13250212891421106,0.03975620358379323,0.004772321420689379,0.05327643448573148,0.014612310596783376,0.04581124485211979,0.16856841615588244,0.325279225608013
5,0.00022883072071422567,0.7464697597544082,0.19049456334905968,0.035181798523596354,4.373894734481879e-06,4.702520349657591e-05,0.027495673625515065,4.660301429011447e-06,7.331462704631901e-05
6,4.481432331331066e-07,0.983725596046403,0.015600272283937107,0.00038229702560215346,0.0002337029455533983,6.00902673470237e-06,4.284860576496345e-05,6.004125068245132e-06,2.8217977036596596e-06
7,5.086553474493427e-07,0.9454827025166141,0.04949240810322721,0.005010832618303147,1.2504120483547222e-05,7.888186648250124e-09,7.595580550373238e-08,2.268177497631245e-07,7.333242824314605e-07
8,4.864625027598827e-08,0.9949647737333412,0.0047733472119751595,0.00025111328811078563,1.045070446009998e-08,1.3249223147508793e-08,1.0553871532158161e-05,1.423604690664203e-10,1.394065021656378e-07
9,0.0004435504277094525,0.4391082280140642,0.4952226248860725,0.012767591771710116,1.461481400874466e-05,0.00025696753696782603,0.052110230988950394,4.153407373704192e-05,3.465748677979018e-05
10,7.467517779773704e-05,0.33313953243950656,0.5408932387210671,0.12210909301985992,0.0008621169512824223,0.00013910608767198605,0.0018086778402643634,9.743247524659307e-05,0.0008761272873032248
11,0.056933695812919016,0.0004940601511012856,5.437166501828686e-06,0.00030525405470998494,0.0005389775842400009,0.7377188706366122,0.001304324156538669,0.00894617736499376,0.19375320307238336
12,0.005237885513376634,5.45870798916004e-05,0.0003139725114692478,6.648616121047943e-05,3.672385191632298e-06,0.02364296893405205,0.0002093532321673435,0.9613885829957333,0.009082491186907817
13,0.00016456235123347475,0.6361798971540836,0.3134232608089004,0.001683611165552988,0.0030777215974838747,0.010765245977843636,0.01266486020812774,0.021957152995224608,8.368774154961148e-05
14,0.01507430050722471,0.0024827118319881943,0.003802539815428189,3.503404215021748e-05,2.039007605769851e-05,0.02607206565039075,0.16599665528116075,0.7765674587705372,0.009948844025062189
15,5.808655658921807e-08,0.00017488619751685575,5.070083163714827e-06,3.0563462742284464e-05,0.9997891787527238,4.860565952696614e-09,8.675013772514578e-08,1.412857500463295e-07,1.0520842947907553e-08
16,5.1188806313300394e-05,0.002520382522508421,0.00472286552266837,0.0019285568947163697,5.909885283263178e-06,0.23576474474722953,0.7545341097609067,0.00024353557380985235,0.00022870628656417887
17,4.288587151517342e-06,8.476428088029417e-05,0.0025903412783309715,6.643643074871275e-06,1.0247907799010797e-05,0.9961487034741886,0.00016441799599139101,0.0004952983676759109,0.000495294464907353
18,0.0008935367298121838,0.6265771734519813,0.20765296796527297,0.1445627556637456,0.005024499817319764,0.00736266401572457,0.0012202519166407933,0.001073497311630364,0.0056326531278723165
19,0.003295447810041164,0.8871178311108623,0.08598652342480896,0.004183309651826536,0.008611764840137193,0.00032369217008403235,0.0003505767926842268,0.0029876106002119937,0.0071432435993435935
20,4.304032117261365e-07,0.6831011259370078,0.29996883622547277,0.01581287005360442,2.0476721680689784e-08,5.701328023848407e-06,0.0011105994336936295,2.5579201678865533e-07,1.6035024732150226e-07
21,0.00024944590505272465,1.1088361535894458e-08,1.3319373825723816e-10,3.24807288617813e-07,4.1233795210625775e-08,0.9997011746544668,2.3426785274848432e-05,7.545323271738519e-07,2.4820860239398787e-05
22,0.0027063541632468668,8.675400145150358e-07,9.577101939459208e-09,3.7718102287209065e-05,3.191534581112434e-06,0.9834318601825879,0.013316265498262826,0.0004741823377508173,2.955106416684217e-05
23,1.7872807722987298e-06,0.31918820207912646,0.6710495018463921,0.00010426739689215035,0.0003477124829652361,0.0016892165271156262,0.000216115797558507,0.007402022071596644,1.1745175810360187e-06
24,6.403616705615251e-07,3.0904569410971716e-07,0.0004938987548574249,1.1485071739535699e-07,1.3941221375579949e-08,0.000541690578018419,0.0002662618951436254,0.998674904772712,2.216579996500616e-05
25,0.0011494753702809982,8.318291572915283e-08,3.3580674340182034e-10,0.0005256076956955793,1.051720893298073e-06,0.9886112056335186,0.007887197058395799,0.001785098439284857,4.028056320816031e-05
